s0,79,64,94
c7,28,37,2,27
c10,7,37,40,27
c25,17,37,25,27
c29,35,37,6,27
c35,33,37,15,27
c37,9,37,32,27
c38,22,37,31,27
c50,37,37,18,27
c66,11,37,30,27
c82,20,37,32,27
c83,15,37,6,27
c86,9,37,35,27
c87,39,37,36,27
c95,40,37,37,27
c116,5,37,4,27
c117,8,37,10,27
c126,21,37,26,27
c127,36,37,33,27
c139,26,37,18,27
c150,12,37,4,27
c151,14,37,17,27
c163,3,37,5,27
c175,2,37,35,27
c179,7,37,9,27
c192,16,37,32,27
c200,14,37,23,27
c209,12,37,34,27
c220,4,37,5,27
c246,30,37,34,27
c260,37,37,37,27
c262,39,37,3,27
c264,9,37,3,27
c283,13,37,31,27
c295,18,37,25,27
c301,16,37,25,27
c304,35,37,36,27
c307,28,37,23,27
c319,25,37,22,27
c331,40,37,22,27
c339,3,37,28,27
c345,23,37,5,27
c352,11,37,39,27
c353,38,37,36,27
c354,36,37,12,27
c356,36,37,4,27
s8,81,98,56
c357,19,37,11,27
c367,11,37,8,27
c393,30,37,2,27
c402,5,37,26,27
c408,38,37,13,27
c410,13,37,8,27
c412,18,37,19,27
c420,12,37,17,27
c430,25,37,32,27
c448,8,37,4,27
c449,39,37,31,27
c457,32,37,21,27
c460,17,37,12,27
c466,1,37,8,27
c467,15,37,35,27
c479,29,37,5,27
c481,3,37,35,27
c483,7,37,26,27
c490,24,37,24,27
c493,16,37,11,27
c502,25,37,25,27
c507,30,37,21,27
c521,28,37,3,27
c531,28,37,18,27
c544,22,37,20,27
c550,12,37,7,27
c552,25,37,15,27
c562,37,37,8,27
c567,3,37,10,27
c577,13,37,20,27
c578,33,37,18,27
c595,35,37,2,27
c597,34,37,34,27
c613,15,37,28,27
c614,23,37,38,27
c626,6,37,7,27
c635,2,37,24,27
c636,38,37,15,27
c638,21,37,27,27
c640,9,37,31,27
c643,23,37,17,27
c648,26,37,21,27
c664,12,37,10,27
c666,14,37,13,27
c668,3,37,23,27
c670,24,37,32,27
c673,32,37,30,27
c675,33,37,31,27
c691,17,37,22,27
c702,5,37,11,27
c705,14,37,20,27
c708,10,37,29,27
c709,28,37,33,27
c718,1,37,5,27
c729,20,37,3,27
c730,26,37,5,27
c742,25,37,24,27
c746,11,37,24,27
c751,29,37,32,27
c754,38,37,2,27
c759,18,37,9,27
c760,26,37,24,27
c768,12,37,30,27
c792,22,37,15,27
c808,11,37,30,27
c817,24,37,28,27
c818,25,37,10,27
c835,28,37,4,27
c878,5,37,20,27
c890,17,37,23,27
c893,4,37,6,27
c898,22,37,22,27
c901,24,37,33,27
c902,28,37,13,27
c907,7,37,4,27
c918,12,37,21,27
c919,17,37,6,27
c932,28,37,24,27
c937,32,37,15,27
c950,8,37,14,27
c957,26,37,6,27
c971,2,37,3,27
c983,26,37,28,27
c986,21,37,21,27
c9,27,37,31,32
c18,11,37,14,32
c31,26,37,35,32
c33,17,37,19,32
c34,28,37,36,32
c42,27,37,34,32
c44,25,37,40,32
c48,33,37,7,32
c65,25,37,7,32
c69,24,37,12,32
c74,28,37,14,32
c81,4,37,11,32
c90,7,37,20,32
s1,54,100,96
c97,25,37,36,32
c102,11,37,4,32
c106,13,37,37,32
c142,33,37,1,32
c148,1,37,2,32
c169,22,37,14,32
c173,32,37,33,32
c191,25,37,13,32
c194,12,37,23,32
c195,6,37,40,32
c198,16,37,32,32
c208,29,37,11,32
c211,15,37,3,32
c213,26,37,23,32
c215,27,37,31,32
c216,26,37,23,32
c234,21,37,39,32
c240,35,37,28,32
c241,10,37,9,32
c245,15,37,25,32
c257,39,37,2,32
c270,16,37,16,32
c280,7,37,33,32
c287,12,37,34,32
c288,22,37,19,32
c292,27,37,29,32
c293,13,37,25,32
c302,5,37,1,32
c303,1,37,28,32
c311,37,37,32,32
c312,31,37,20,32
c322,15,37,1,32
c324,27,37,15,32
c332,17,37,38,32
